companyNumber,companyName,status,incorporationDate,companyType,jurisdiction,registeredAddress,sicCodes,id,createdAt,updatedAt,lastProcessed,processingStatus,dataQualityScore
"13713106","A24 PROPERTY MAINTENANCE LTD","active",Fri Oct 29 2021 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],16230,43290,43341,81300,"3e2c5f8f-fb67-4c12-b354-2f1354c95f05",Fri Aug 08 2025 09:54:27 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:27 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:27 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"10315249","A1 LOFTS AND EXTENSIONS LIMITED","liquidation",Fri Aug 05 2016 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],41100,43290,43390,"27dadbac-93e5-46f2-96b9-0e5a262cc016",Fri Aug 08 2025 09:54:27 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:27 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:27 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"14957111","JJ'S A* SERVICES LTD","dissolved",Fri Jun 23 2023 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43341,81210,81221,81229,"44bb010a-b89a-439f-9461-78ba6a3d3858",Fri Aug 08 2025 09:54:26 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:26 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:26 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"13101975","FLAT ROOF SOLUTIONS EPDM LTD","active",Tue Dec 29 2020 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43910,"0aeb5efd-fe3a-42f1-b4a3-185bb72f009d",Fri Aug 08 2025 09:54:26 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:26 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:26 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"14039917","AA CARPENTRY PROJECTS LIMITED","active",Mon Apr 11 2022 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43320,"394e6688-0f45-4ad2-98fc-521191e9aa3a",Fri Aug 08 2025 09:54:24 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:24 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:24 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"10777321","NEWTON AND SONS ROOFING LIMITED","active",Thu May 18 2017 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43910,"f035843b-b130-42e8-926d-73228df2987a",Fri Aug 08 2025 09:54:23 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:23 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:23 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"14272466","ABOVE ALL LOFTS AND EXTENSIONS LTD","active",Wed Aug 03 2022 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43999,"69edcf6d-2c77-49aa-bafd-28fd3756b772",Fri Aug 08 2025 09:54:22 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:22 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:22 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"14997039","MYLES CARY PLASTERING LTD","active",Wed Jul 12 2023 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43310,"b2405562-8010-452b-a4c5-5c2ca29a666d",Fri Aug 08 2025 09:54:21 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:21 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:21 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"06489022","AGW ROOFING & CONSTRUCTION LIMITED","dissolved",Wed Jan 30 2008 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],42990,"fe713a1d-edb3-4056-a6ec-9109de4d178c",Fri Aug 08 2025 09:54:20 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:20 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:20 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"06410656","A & D LANDSCAPES LTD","active",Fri Oct 26 2007 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],81300,"6623b5e0-ad2f-42d4-b32c-8b4533fc84a3",Fri Aug 08 2025 09:54:18 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:18 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:18 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"10390381","414 CONSTRUCTION LTD","active",Thu Sep 22 2016 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],82990,"16446a2f-780f-4c42-86fb-f4a77dfa5978",Fri Aug 08 2025 09:54:17 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:17 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:17 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"11550515","4 SEASON ROOFING LIMITED","active",Tue Sep 04 2018 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43910,"cf203786-99d9-4e80-a4ec-7c8fabe20666",Fri Aug 08 2025 09:54:16 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:16 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:16 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"03899261","ALAN HERON (ARCHITECTURAL JOINERY AND CABINET MAKING) LIMITED","active",Thu Dec 23 1999 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],31090,"4f5c8207-a692-4f46-a7af-b201ef3db49a",Fri Aug 08 2025 09:54:16 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:16 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:16 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"11142668","30 DAY EXTENSIONS LIMITED","active",Wed Jan 10 2018 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],41100,43999,"bf58921b-f5ea-45e7-9296-f0fd26c5b954",Fri Aug 08 2025 09:54:13 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:13 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:54:13 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"1","12345678","Apple UK Limited","active",Wed Jan 15 2020 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],62012,62020,1250,"estimated","185000000.00","estimated","645000000.00","estimated",Fri Aug 08 2025 09:51:44 GMT+0000 (Coordinated Universal Time),"completed","0.95",Fri Aug 08 2025 09:51:44 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:51:44 GMT+0000 (Coordinated Universal Time)
"2","87654321","Google UK Ltd","active",Fri Aug 22 2003 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],63110,58290,2800,"estimated","420000000.00","estimated","1470000000.00","estimated",Fri Aug 08 2025 09:51:44 GMT+0000 (Coordinated Universal Time),"completed","0.92",Fri Aug 08 2025 09:51:44 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:51:44 GMT+0000 (Coordinated Universal Time)
"3","11223344","Microsoft Limited","active",Sun Mar 10 1985 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],62012,58290,3200,"estimated","580000000.00","estimated","2030000000.00","estimated",Fri Aug 08 2025 09:51:44 GMT+0000 (Coordinated Universal Time),"completed","0.97",Fri Aug 08 2025 09:51:44 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 09:51:44 GMT+0000 (Coordinated Universal Time)
